	SaCNB458_BA	SaCNB527_BA	SaCNH643_BA	SaCNH646_BA	SaCNH713_RS	SaCNH718_RS	SaCNH877_BA	SaCNH905_BA	SaCNH941_SC	SaCNH962_SC	SaCNH963_SC	SaCNH964_SC	SaCNH996B_SC	SaCNH996_SC	SaCNP105_SC	SaCNP193_SC	SaCNQ748_GU	SaCNQ884_GU	SaCNR107_GU	SaCNR425_GU	SaCNR921_PL	SaCNS051_PL	SaCNS205_PL	SaCNS243_PL	SaCNS296_PL	SaCNS299_PL	SaCNS325_PL	SaCNS342_FJ	SaCNS673_FJ	SaCNS744_FJ	SaCNS820_FJ	SaCNS848_FJ	SaCNT005_FJ	SaCNT798_HI	SaCNT799_HI	SaCNT800_HI	SaCNT849_HI	SaCNT850_HI	SaCNT857_HI	SaCNT859_HI	SaCNX481_PM	SaCNX482_PM	SaCNX508_PM	SaCNX814_PM	SaCNX891_PM	SaCNY011_BA	SaCNY230_FJ	SaCNY231_FJ	SaCNY234_FJ	SaCNY237_FJ	SaCNY244_FJ	SaCNY256_FJ	SaCNY260_FJ	SaCNY280_FJ	SaCNY281_FJ	SaCNY282_FJ	SaCNY486_PV	SaCNY679_YU	SaCNY685_YU	SaCNY690_YU	SaCNY694_YU	SaDSM45545_FJ	SpCNH732_RS	SpCNQ768_GU	SpCNR114_GU	SpCNR510_GU	SpCNR894_PL	SpCNR909_PL	SpCNR942_PL	SpCNS055_PL	SpCNS103_PL	SpCNS237_PL	SpCNS801_FJ	SpCNS860_FJ	SpCNS996_FJ	SpCNT001_FJ	SpCNT003_FJ	SpCNT029_FJ	SpCNT045_FJ	SpCNT084_FJ	SpCNT124_FJ	SpCNT131_FJ	SpCNT133_FJ	SpCNT403_FJ	SpCNT569_FJ	SpCNT584_FJ	SpCNT603_FJ	SpCNT609_FJ	SpCNT796_HI	SpCNT851_HI	SpCNT854_HI	SpCNT855_HI	SpCNY202_SC	SpCNY239_FJ	SpCNY330_SC	SpCNY331_SC	SpCNY363_SC	SpCNY498_PV	SpCNY646_RS	SpCNY666_MD	SpCNY673_MD	SpCNY703_MD	SpDSM45543_FJ	SpDSM45544_FJ	SpDSM45547_FJ	SpDSM45548_FJ	SpDSM45549_FJ	StCNB440_BA	StCNB476_BA	StCNB536_BA	StCNH898_BA	StCNR699_BA	StCNS197_BA	StCNS416_BA	StCNT250_BA	StCNT261_BA	StCNY012_BA	StCNY678_YU	StCNY681_YU	VmarisAB18
SaCNY237_FJ	96.64	96.63	98.74	98.74	98.87	99.09	98.68	98.71	98.85	98.37	98.38	98.85	98.31	98.34	98.83	98.84	99.34	99.31	99.31	99.34	99.32	99.33	99.32	99.33	99.35	99.35	99.3	99.38	99.34	99.33	99.36	98.87	99.33	98.9	98.91	98.91	98.92	98.91	98.8	98.84	98.78	98.81	98.84	98.83	98.83	98.68	99.29	99.3	99.37	100	99.43	99.33	99.34	98.89	94.97	99.38	98.36	98.65	96.58	96.7	96.67	98.93	87.32	87.31	87.36	87.27	87.33	87.29	87.41	87.14	87.27	87.15	87.05	87.22	87.31	87.27	87.29	86.92	87.43	87.06	87.26	87.29	87.2	87.4	87.3	87.28	87.28	87.07	87.05	87.04	87.24	87.33	87.49	87.29	87.37	87.33	87.26	87.38	87.31	86.88	87.02	86.93	87.21	87.35	87.08	86.94	87.27	87.61	87.6	87.75	87.56	87.71	87.57	87.58	87.59	87.75	87.6	87.59	87.52	81.74
SaCNY244_FJ	96.69	96.65	98.76	98.76	98.88	99.09	98.7	98.75	98.85	98.37	98.37	98.85	98.35	98.37	98.85	98.85	99.33	99.34	99.3	99.32	99.3	99.3	99.3	99.33	99.36	99.31	99.33	99.46	99.38	99.34	99.36	98.91	99.35	98.91	98.93	98.93	98.93	98.92	98.85	98.87	98.86	98.84	98.85	98.85	98.85	98.7	99.33	99.31	99.36	99.43	100	99.37	99.39	98.92	95	99.37	98.35	98.67	96.62	96.72	96.67	98.92	87.21	87.22	87.24	87.3	87.21	87.22	87.24	87.05	87.28	86.94	86.94	87.2	87.26	87.31	87.27	86.99	87.25	87	87.2	87.24	87.13	87.24	87.23	87.19	87.25	87.05	87.03	87.06	87.24	87.27	87.46	87.25	87.3	87.23	87.34	87.25	87.17	86.88	86.92	86.95	87.28	87.27	86.98	86.95	87.26	87.57	87.68	87.66	87.59	87.62	87.63	87.58	87.53	87.63	87.51	87.56	87.54	81.82
SaCNY256_FJ	96.66	96.61	98.73	98.74	98.88	99.07	98.66	98.73	98.82	98.34	98.34	98.83	98.31	98.32	98.82	98.83	99.32	99.3	99.26	99.32	99.29	99.25	99.29	99.33	99.34	99.31	99.32	99.37	99.52	99.37	99.35	98.89	99.35	98.88	98.92	98.92	98.9	98.91	98.85	98.82	98.84	98.82	98.85	98.83	98.84	98.65	99.35	99.41	99.39	99.33	99.37	100	99.39	98.92	95	99.38	98.32	98.63	96.57	96.63	96.63	98.91	87.27	87.17	87.39	87.39	87.2	87.29	87.28	87.05	87.37	87.15	86.96	87.24	87.26	87.32	87.38	86.92	87.25	87.06	87.19	87.3	87.14	87.23	87.2	87.17	87.17	87.05	87.05	87.04	87.21	87.47	87.46	87.39	87.22	87.34	87.22	87.33	87.2	86.92	87.05	86.92	87.27	87.31	86.93	87	87.37	87.65	87.65	87.77	87.64	87.66	87.63	87.67	87.66	87.7	87.6	87.65	87.64	81.74
SaCNY260_FJ	96.65	96.58	98.7	98.73	98.85	99.08	98.64	98.73	98.85	98.39	98.4	98.84	98.34	98.33	98.81	98.84	99.34	99.32	99.27	99.31	99.32	99.33	99.32	99.32	99.32	99.36	99.36	99.39	99.42	99.37	99.38	98.9	99.38	98.94	98.92	98.91	98.92	98.91	98.76	98.8	98.82	98.8	98.84	98.82	98.82	98.63	99.29	99.3	99.42	99.34	99.39	99.39	100	98.88	94.98	99.42	98.35	98.63	96.59	96.64	96.64	98.91	87.35	87.27	87.29	87.36	87.28	87.2	87.25	87.06	87.37	86.96	86.89	87.21	87.24	87.28	87.33	86.93	87.3	87.06	87.16	87.3	87.09	87.18	87.22	87.16	87.25	86.96	87.03	87.09	87.08	87.37	87.52	87.31	87.23	87.27	87.27	87.35	87.19	86.92	86.95	86.96	87.19	87.37	86.89	86.9	87.27	87.53	87.65	87.73	87.64	87.7	87.65	87.54	87.53	87.73	87.62	87.54	87.62	81.8
SaCNY280_FJ	96.63	96.51	98.95	98.96	99	98.84	98.89	98.95	99.03	98.29	98.3	98.98	98.27	98.26	99.02	99.03	98.88	98.9	98.84	98.86	98.87	98.83	98.87	98.86	98.91	98.89	98.9	98.91	98.91	98.87	98.9	99.59	98.91	99.28	99.33	99.33	99.31	99.33	99.25	99.13	98.64	98.64	98.68	98.64	98.65	98.9	98.9	98.93	98.9	98.89	98.92	98.92	98.88	100	94.88	98.89	98.31	98.89	96.53	96.57	96.59	99.44	87.29	87.28	87.35	87.38	87.31	87.32	87.34	87.14	87.41	86.89	86.86	87.05	87.13	87.42	87.34	86.98	87.11	87.16	87.16	87.38	87.32	87.08	87.3	87.17	87.29	87.2	86.97	87.02	87.09	87.3	87.37	87.38	87.31	87.66	87.62	87.28	87.2	86.83	86.92	86.89	87.11	87.46	86.92	86.86	87.21	87.6	87.73	87.73	87.6	87.75	87.71	87.63	87.69	87.68	87.62	87.61	87.62	81.69
SaCNY281_FJ	94.7	94.63	94.84	94.84	94.9	94.98	94.76	94.87	94.82	94.84	94.85	94.87	94.86	94.84	94.87	94.86	94.95	94.98	95.05	94.99	95	95.02	94.98	94.99	94.98	95.05	95.04	94.98	95	95.03	95.03	94.9	95.06	94.95	94.89	94.96	94.96	94.92	94.83	94.81	94.85	94.91	94.83	94.88	94.93	94.77	95.01	94.96	94.99	94.97	95	95	94.98	94.88	100	94.99	94.86	94.81	94.65	94.66	94.7	94.9	87.15	87.23	87.17	87.18	87.15	87.21	87.06	87.07	87.22	86.85	86.77	86.94	87.03	87.16	87.21	86.77	87	86.81	86.98	87.12	86.94	86.98	87.01	87	87.14	86.85	86.99	86.95	86.92	87.21	87.19	87.23	87.14	87.1	87.15	87.18	86.94	86.81	86.85	86.8	86.96	87.22	86.8	86.76	87.2	87.37	87.57	87.59	87.53	87.46	87.52	87.46	87.5	87.56	87.54	87.45	87.41	81.65
SaCNY282_FJ	96.66	96.56	98.72	98.73	98.83	99.06	98.63	98.7	98.83	98.35	98.36	98.82	98.33	98.33	98.81	98.83	99.31	99.32	99.25	99.35	99.3	99.3	99.31	99.32	99.33	99.32	99.35	99.41	99.42	99.37	99.4	98.9	99.37	98.91	98.88	98.9	98.9	98.9	98.8	98.78	98.82	98.81	98.85	98.83	98.83	98.62	99.35	99.35	99.74	99.38	99.37	99.38	99.42	98.89	94.99	100	98.33	98.66	96.58	96.64	96.64	98.93	87.22	87.24	87.33	87.29	87.22	87.27	87.2	87.08	87.3	86.98	86.91	87.22	87.23	87.2	87.26	86.95	87.3	87.01	87.15	87.24	87.17	87.24	87.26	87.19	87.18	87.02	87.02	86.98	87.19	87.24	87.46	87.32	87.29	87.26	87.25	87.17	87.23	86.84	86.97	86.96	87.25	87.3	86.94	86.92	87.17	87.55	87.7	87.65	87.6	87.66	87.66	87.57	87.57	87.74	87.58	87.55	87.6	81.79
SaCNY486_PV	96.75	96.72	98.2	98.24	98.26	98.36	98.15	98.2	98.32	99.78	99.77	98.27	99.79	99.78	98.27	98.31	98.29	98.34	98.3	98.32	98.33	98.33	98.31	98.34	98.38	98.37	98.33	98.35	98.33	98.34	98.35	98.32	98.38	98.34	98.31	98.32	98.3	98.32	98.27	98.2	98.15	98.15	98.18	98.14	98.18	98.15	98.29	98.33	98.33	98.36	98.35	98.32	98.35	98.31	94.86	98.33	100	98.12	96.65	96.75	96.71	98.33	87.25	87.27	87.27	87.28	87.22	87.29	87.19	87.09	87.27	87.05	86.88	87.28	87.3	87.33	87.3	86.93	87.17	87.23	87.18	87.34	87.25	87.23	87.2	87.17	87.29	87.17	86.99	86.99	87.16	87.38	87.37	87.32	87.31	87.75	87.67	87.31	87.4	86.89	86.99	86.99	87.29	87.35	86.88	86.95	87.24	87.55	87.63	87.66	87.62	87.62	87.63	87.54	87.51	87.64	87.52	87.53	87.52	81.67
SaCNY679_YU	96.72	96.66	99.57	99.55	98.7	98.6	99.62	99.62	98.84	98.2	98.2	98.84	98.13	98.14	98.84	98.85	98.65	98.64	98.62	98.64	98.68	98.66	98.65	98.66	98.63	98.64	98.66	98.64	98.6	98.65	98.64	98.88	98.66	98.91	98.88	98.89	98.89	98.88	98.84	98.82	98.5	98.46	98.5	98.51	98.52	99.63	98.65	98.63	98.64	98.65	98.67	98.63	98.63	98.89	94.81	98.66	98.12	100	96.64	96.73	96.72	98.92	87.09	87.08	87.06	87.12	87.11	87.12	87.23	87.11	87.1	86.88	86.86	86.93	86.92	87.1	87.19	86.88	86.94	86.98	86.97	87.16	86.91	86.95	87.27	86.98	87.12	86.9	86.99	87.04	86.92	87.18	87.33	87.18	87.15	87.17	87.12	87.12	86.97	86.83	86.95	86.88	86.94	87.16	86.89	86.83	87.12	87.53	87.44	87.56	87.57	87.41	87.47	87.52	87.53	87.49	87.55	87.47	87.53	81.8
SaCNY685_YU	99.13	99.22	96.69	96.78	96.58	96.64	96.66	96.7	96.59	96.68	96.69	96.54	96.72	96.69	96.57	96.59	96.6	96.6	96.63	96.58	96.69	96.67	96.57	96.58	96.58	96.63	96.61	96.61	96.58	96.59	96.6	96.58	96.57	96.56	96.57	96.56	96.52	96.58	96.54	96.48	96.46	96.5	96.53	96.48	96.53	96.68	96.61	96.59	96.59	96.58	96.62	96.57	96.59	96.53	94.65	96.58	96.65	96.64	100	99.15	99.13	96.53	87.47	87.33	87.53	87.49	87.37	87.32	87.17	87.15	87.35	87.15	87	87.13	87.28	87.5	87.44	86.94	87.23	87.12	87.16	87.35	87.2	87.11	87.22	87.21	87.45	87.08	87.21	87.43	87.24	87.29	87.56	87.38	87.62	87.51	87.68	87.6	87.31	87.26	87.32	87.23	87.14	87.4	86.9	86.89	87.34	87.77	87.91	88.03	87.92	87.97	87.86	87.79	87.78	88.15	87.81	87.84	87.78	81.85
SaCNY690_YU	99.47	99.09	96.79	96.79	96.62	96.7	96.74	96.77	96.63	96.8	96.8	96.55	96.76	96.76	96.55	96.63	96.65	96.71	96.68	96.65	96.74	96.71	96.62	96.64	96.64	96.67	96.67	96.72	96.65	96.66	96.66	96.59	96.62	96.62	96.64	96.64	96.65	96.63	96.58	96.55	96.56	96.53	96.6	96.59	96.56	96.76	96.67	96.66	96.68	96.7	96.72	96.63	96.64	96.57	94.66	96.64	96.75	96.73	99.15	100	99.43	96.59	87.34	87.33	87.49	87.33	87.28	87.34	87.21	87.11	87.33	87.06	86.98	87.08	87.22	87.47	87.37	86.91	87.29	87.04	87.23	87.32	87.22	87.21	87.16	87.2	87.41	87.07	87.15	87.25	87.26	87.23	87.42	87.33	87.46	87.42	87.51	87.54	87.29	87.19	87.23	87.22	87.13	87.36	86.97	86.9	87.29	87.69	87.79	87.93	87.84	87.79	87.76	87.75	87.73	88.08	87.76	87.64	87.61	81.71
SaCNY694_YU	99.45	99.03	96.74	96.84	96.65	96.66	96.75	96.73	96.65	96.74	96.77	96.63	96.75	96.75	96.65	96.67	96.67	96.67	96.67	96.67	96.74	96.69	96.65	96.62	96.67	96.7	96.66	96.67	96.61	96.63	96.64	96.62	96.66	96.62	96.59	96.62	96.59	96.64	96.61	96.58	96.56	96.53	96.63	96.59	96.58	96.73	96.6	96.66	96.67	96.67	96.67	96.63	96.64	96.59	94.7	96.64	96.71	96.72	99.13	99.43	100	96.63	87.39	87.39	87.37	87.44	87.39	87.43	87.17	87.12	87.39	87.17	86.98	87.11	87.16	87.36	87.47	86.93	87.2	87.1	87.19	87.41	87.16	87.13	87.12	87.2	87.37	87.07	87.23	87.23	87.23	87.42	87.5	87.47	87.49	87.53	87.45	87.44	87.16	87.29	87.16	87.03	87.16	87.42	86.98	87.04	87.29	87.81	87.83	87.88	87.74	87.85	87.81	87.8	87.73	87.81	87.74	87.74	87.74	81.88
SaDSM45545_FJ	96.62	96.57	98.97	98.99	99.01	98.85	98.9	98.96	99.05	98.35	98.35	99	98.31	98.31	99.04	99.05	98.89	98.92	98.86	98.87	98.89	98.86	98.88	98.9	98.98	98.92	98.92	98.94	98.93	98.94	98.93	99.46	98.97	99.32	99.41	99.36	99.34	99.4	99.28	99.23	98.7	98.67	98.68	98.65	98.66	98.91	98.89	98.97	98.92	98.93	98.92	98.91	98.91	99.44	94.9	98.93	98.33	98.92	96.53	96.59	96.63	100	87.3	87.33	87.24	87.27	87.27	87.33	87.33	87.18	87.35	86.93	86.84	87.08	87.17	87.42	87.25	86.95	87.11	87.15	87.18	87.33	87.33	87.06	87.29	87.13	87.27	87.14	87.01	86.97	87.09	87.37	87.44	87.36	87.31	87.62	87.63	87.3	87.21	86.84	86.91	86.89	87.11	87.46	86.96	86.89	87.29	87.58	87.63	87.57	87.52	87.6	87.61	87.53	87.48	87.58	87.52	87.52	87.54	81.72
SpCNH732_RS	87.43	87.17	87.23	87.23	87.33	87.27	87.08	87.35	87.28	87.18	87.21	87.32	87.24	87.29	87.31	87.28	87.33	87.27	87.26	87.24	87.38	87.39	87.32	87.29	87.3	87.3	87.26	87.22	87.31	87.31	87.24	87.36	87.24	87.26	87.32	87.26	87.28	87.35	87.13	87.11	87.19	87.14	87.1	87.18	87.17	87.14	87.34	87.2	87.26	87.32	87.21	87.27	87.35	87.29	87.15	87.22	87.25	87.09	87.47	87.34	87.39	87.3	100	99.24	99.24	99.29	99.31	99.22	91.8	94.59	99.21	91.92	94.34	92.84	92.86	99.31	99.27	92.76	92.9	97.03	92.86	99.35	97.03	92.86	91.81	92.81	99.33	97.02	98.18	98.18	92.89	99.14	92.52	99.28	98.94	98.92	98.91	99.25	91.82	94.52	92.87	92.83	92.86	99.23	92.75	94.32	92.29	90.7	90.69	90.85	90.79	90.71	90.74	90.67	90.73	90.81	90.82	90.67	90.75	81.68
SpCNQ768_GU	87.36	87.19	87.24	87.25	87.31	87.27	87.15	87.4	87.39	87.27	87.27	87.27	87.28	87.29	87.3	87.34	87.27	87.24	87.23	87.21	87.34	87.33	87.34	87.27	87.21	87.29	87.27	87.19	87.25	87.35	87.27	87.33	87.32	87.25	87.3	87.22	87.3	87.33	87.13	87.14	87.15	87.17	87.18	87.16	87.13	87.08	87.34	87.3	87.27	87.31	87.22	87.17	87.27	87.28	87.23	87.24	87.27	87.08	87.33	87.33	87.39	87.33	99.24	100	99.45	99.28	99.32	99.33	91.78	94.58	99.31	91.89	94.28	92.91	92.93	99.26	99.36	92.83	92.93	96.99	92.9	99.25	97	92.89	91.82	92.84	99.28	96.99	98.07	98.07	92.88	99.19	92.41	99.2	98.9	98.89	98.84	99.28	91.74	94.49	92.88	92.88	92.95	99.24	92.79	94.29	92.26	90.69	90.75	90.82	90.76	90.71	90.74	90.73	90.65	90.79	90.73	90.71	90.72	81.7
SpCNR114_GU	87.33	87.29	87.41	87.28	87.4	87.25	87.03	87.39	87.36	87.28	87.22	87.32	87.32	87.3	87.28	87.37	87.31	87.25	87.55	87.23	87.34	87.7	87.28	87.36	87.3	87.27	87.33	87.26	87.47	87.21	87.38	87.37	87.24	87.5	87.29	87.29	87.32	87.28	87.21	87.35	87.18	87.22	87.12	87.26	87.25	87.09	87.46	87.22	87.33	87.36	87.24	87.39	87.29	87.35	87.17	87.33	87.27	87.06	87.53	87.49	87.37	87.24	99.24	99.45	100	99.33	99.33	99.38	91.85	94.67	99.35	91.91	94.34	92.89	92.95	99.27	99.36	92.82	92.97	97.03	92.87	99.29	97.04	92.91	91.79	92.84	99.3	97.06	98.18	98.15	92.89	99.2	92.49	99.22	98.91	98.9	98.86	99.23	91.84	94.46	92.89	92.84	92.89	99.25	92.81	94.27	92.34	90.75	90.76	90.85	90.87	90.71	90.68	90.73	90.71	90.87	90.94	90.72	90.67	81.74
SpCNR510_GU	87.37	87.22	87.25	87.27	87.34	87.39	87.09	87.47	87.33	87.19	87.19	87.42	87.39	87.41	87.45	87.31	87.36	87.25	87.38	87.24	87.33	87.44	87.33	87.23	87.27	87.27	87.26	87.24	87.4	87.36	87.28	87.27	87.31	87.42	87.31	87.24	87.28	87.32	87.21	87.24	87.17	87.28	87.19	87.18	87.2	87.11	87.39	87.22	87.37	87.27	87.3	87.39	87.36	87.38	87.18	87.29	87.28	87.12	87.49	87.33	87.44	87.27	99.29	99.28	99.33	100	99.41	99.3	91.81	94.59	99.29	91.92	94.33	92.99	93.04	99.37	99.32	92.82	92.99	97	92.85	99.36	97	92.89	91.81	92.84	99.39	97.01	98.14	98.16	92.89	99.15	92.48	99.27	98.91	98.88	98.84	99.23	91.8	94.5	92.87	92.88	92.87	99.26	92.79	94.32	92.2	90.73	90.7	90.82	90.74	90.73	90.73	90.68	90.7	90.75	90.8	90.71	90.72	81.82
SpCNR894_PL	87.38	87.13	87.25	87.24	87.34	87.29	87.06	87.36	87.39	87.2	87.19	87.25	87.32	87.23	87.36	87.36	87.31	87.18	87.27	87.25	87.43	87.4	87.43	87.29	87.29	87.2	87.28	87.26	87.25	87.29	87.25	87.41	87.23	87.32	87.34	87.25	87.23	87.34	87.08	87.1	87.14	87.2	87.09	87.21	87.14	87.03	87.34	87.2	87.26	87.33	87.21	87.2	87.28	87.31	87.15	87.22	87.22	87.11	87.37	87.28	87.39	87.27	99.31	99.32	99.33	99.41	100	99.35	91.79	94.58	99.3	91.96	94.34	92.84	92.95	99.4	99.31	92.82	92.92	97	92.85	99.39	97.01	92.88	91.83	92.86	99.37	97.03	98.18	98.17	92.89	99.18	92.44	99.32	98.94	98.94	98.94	99.26	91.81	94.47	92.84	92.79	92.81	99.25	92.78	94.29	92.28	90.71	90.73	90.8	90.73	90.73	90.72	90.7	90.67	90.77	90.76	90.7	90.69	81.84
SpCNR909_PL	87.36	87.28	87.31	87.25	87.23	87.26	87.13	87.34	87.32	87.27	87.26	87.29	87.33	87.3	87.31	87.31	87.3	87.27	87.33	87.27	87.26	87.41	87.29	87.37	87.29	87.29	87.27	87.23	87.31	87.29	87.28	87.3	87.28	87.27	87.28	87.28	87.28	87.32	87.21	87.11	87.32	87.33	87.1	87.18	87.22	87.08	87.29	87.2	87.24	87.29	87.22	87.29	87.2	87.32	87.21	87.27	87.29	87.12	87.32	87.34	87.43	87.33	99.22	99.33	99.38	99.3	99.35	100	91.78	94.62	99.37	91.9	94.34	92.88	92.95	99.27	99.33	92.85	92.94	97.03	92.9	99.26	97.05	92.94	91.8	92.9	99.29	97.07	98.11	98.13	92.88	99.19	92.47	99.21	98.92	98.92	98.86	99.27	91.79	94.46	92.86	92.86	92.92	99.2	92.8	94.32	92.32	90.76	90.79	90.91	90.79	90.82	90.7	90.78	90.79	90.76	90.88	90.74	90.72	81.82
SpCNR942_PL	87.08	87.13	87.31	87.28	87.37	87.26	87.23	87.29	87.5	87.16	87.14	87.45	87.2	87.22	87.41	87.51	87.32	87.23	87.29	87.21	87.35	87.41	87.36	87.2	87.21	87.27	87.2	87.25	87.27	87.2	87.23	87.41	87.23	87.28	87.33	87.2	87.29	87.34	87.28	87.24	87.18	87.19	87.25	87.34	87.25	87.22	87.37	87.17	87.23	87.41	87.24	87.28	87.25	87.34	87.06	87.2	87.19	87.23	87.17	87.21	87.17	87.33	91.8	91.78	91.85	91.81	91.79	91.78	100	91.88	91.78	92.27	91.63	91.81	91.8	91.81	91.8	91.85	91.88	91.63	91.83	91.78	91.61	91.87	99.1	91.85	91.84	91.7	91.67	91.73	91.87	91.75	92.91	91.85	91.93	91.9	91.9	91.87	92.16	91.88	91.85	91.81	91.84	91.78	91.82	91.6	92.55	91.08	91.11	91.09	91.1	91.08	91.08	91.12	91.09	91.16	91.16	91.14	91.09	81.36
SpCNS055_PL	87.05	87.1	87.13	87.18	87.18	87.1	87.13	87.1	87.1	87.03	87.1	87.1	87.15	87.15	87.09	87.12	87.17	87.11	87.1	87.1	87.15	87.26	87.15	87.15	87.11	87.09	87.08	87.05	87.08	87.12	87.01	87.17	87.11	87.11	87.11	87.07	87.09	87.13	87.15	87.12	87.09	87.25	87.09	87.13	87.12	87.12	87.19	87.06	87.08	87.14	87.05	87.05	87.06	87.14	87.07	87.08	87.09	87.11	87.15	87.11	87.12	87.18	94.59	94.58	94.67	94.59	94.58	94.62	91.88	100	94.6	91.93	95.68	93.17	93.16	94.61	94.59	93.25	93.23	94.38	92.9	94.57	94.39	93.16	91.9	92.92	94.62	94.4	94.42	94.45	92.93	94.6	92.42	94.6	94.59	94.62	94.55	94.63	91.79	94.99	93.28	93.29	93.12	94.61	93.25	95.66	92.32	90.88	90.89	90.94	90.92	90.91	90.88	90.92	90.88	90.94	90.96	90.91	90.92	81.83
SpCNS103_PL	87.32	87.22	87.25	87.26	87.28	87.25	87.1	87.38	87.39	87.3	87.25	87.3	87.31	87.31	87.33	87.33	87.33	87.28	87.31	87.29	87.35	87.31	87.33	87.33	87.27	87.35	87.28	87.22	87.46	87.35	87.29	87.31	87.3	87.51	87.36	87.26	87.31	87.32	87.16	87.36	87.24	87.33	87.14	87.16	87.18	87.11	87.26	87.27	87.25	87.27	87.28	87.37	87.37	87.41	87.22	87.3	87.27	87.1	87.35	87.33	87.39	87.35	99.21	99.31	99.35	99.29	99.3	99.37	91.78	94.6	100	91.9	94.33	92.85	93.04	99.27	99.3	92.84	92.94	97.04	92.9	99.25	97.03	92.96	91.78	92.86	99.28	97.02	98.16	98.15	92.92	99.18	92.44	99.2	98.93	98.94	98.85	99.24	91.86	94.48	92.83	92.84	92.9	99.24	92.8	94.28	92.28	90.67	90.7	90.84	90.71	90.69	90.66	90.72	90.7	90.72	90.83	90.72	90.68	81.68
SpCNS237_PL	87.04	87	86.9	86.85	87	86.97	86.9	86.83	86.98	86.93	86.96	86.97	86.96	87	86.95	86.97	87.1	87.17	87.09	86.9	87.14	87.22	87.05	86.98	87.04	87.07	86.99	86.96	86.98	86.89	87.06	87.05	86.99	86.91	87.05	86.87	86.95	86.97	86.9	87.1	86.94	87.04	86.96	87.12	86.98	86.83	87.27	86.94	87.01	87.15	86.94	87.15	86.96	86.89	86.85	86.98	87.05	86.88	87.15	87.06	87.17	86.93	91.92	91.89	91.91	91.92	91.96	91.9	92.27	91.93	91.9	100	91.75	92.23	92.28	92	91.98	92.28	92.24	91.59	92.28	91.87	91.68	92.21	92.27	92.31	91.96	91.62	91.75	91.83	92.27	92.01	93.32	91.95	91.99	91.96	91.99	91.95	95.01	91.88	92.32	92.28	92.15	91.85	92.26	91.81	96.33	90.97	91.04	91.05	91.13	90.94	90.93	91.05	90.98	91.06	91.01	91	90.98	81.56
SpCNS801_FJ	86.9	86.98	86.9	86.88	86.97	87.04	86.86	86.94	86.88	86.81	86.86	86.89	86.9	86.9	86.91	86.9	86.96	86.96	87.02	86.96	87.02	87.11	86.99	87.02	86.93	86.96	86.96	86.93	86.91	86.95	86.94	86.93	86.92	86.88	86.87	86.89	86.84	86.86	87.01	86.88	87.06	87.01	86.88	87.01	86.89	86.85	87.02	86.9	86.9	87.05	86.94	86.96	86.89	86.86	86.77	86.91	86.88	86.86	87	86.98	86.98	86.84	94.34	94.28	94.34	94.33	94.34	94.34	91.63	95.68	94.33	91.75	100	93.05	93.11	94.35	94.35	93.1	93.16	94.12	92.76	94.33	94.18	93	91.64	92.78	94.34	94.2	94.13	94.16	92.86	94.33	92.27	94.29	94.34	94.35	94.31	94.35	91.66	94.58	93.11	93.09	93.03	94.3	93.14	99.52	92.11	90.59	90.61	90.67	90.65	90.63	90.54	90.63	90.62	90.65	90.6	90.59	90.63	81.87
SpCNS860_FJ	87.1	86.95	87.04	87.05	87.06	87.35	86.88	87.06	87.04	87.25	87.22	87.03	87.25	87.23	87.04	87.06	87.31	87.22	87.38	87.18	87.29	87.32	87.26	87.26	87.28	87.23	87.29	87.22	87.22	87.2	87.22	87.06	87.25	87.05	87.04	87.02	87.02	87.05	86.99	86.92	86.95	86.95	86.91	86.96	86.98	86.89	87.27	87.21	87.24	87.22	87.2	87.24	87.21	87.05	86.94	87.22	87.28	86.93	87.13	87.08	87.11	87.08	92.84	92.91	92.89	92.99	92.84	92.88	91.81	93.17	92.85	92.23	93.05	100	98.86	92.88	92.86	97.66	98.87	93.02	96.39	92.9	93.09	98.93	91.83	96.37	92.92	93	92.59	92.62	96.4	92.9	92.77	92.84	92.84	92.81	92.82	92.92	92.04	92.62	97.58	97.59	99.69	92.9	97.65	93.07	92.6	90.73	90.71	90.73	90.75	90.7	90.7	90.71	90.71	90.8	90.7	90.73	90.71	81.63
SpCNS996_FJ	87.11	86.96	87.06	87.07	87.1	87.44	86.86	87.08	87.2	87.25	87.27	87.16	87.27	87.26	87.2	87.22	87.3	87.28	87.39	87.29	87.42	87.37	87.49	87.31	87.27	87.31	87.31	87.32	87.26	87.3	87.29	87.19	87.27	87.16	87.11	87.09	87.09	87.12	87.03	87.03	87.06	87.04	86.98	87.07	87.02	86.86	87.31	87.2	87.29	87.31	87.26	87.26	87.24	87.13	87.03	87.23	87.3	86.92	87.28	87.22	87.16	87.17	92.86	92.93	92.95	93.04	92.95	92.95	91.8	93.16	93.04	92.28	93.11	98.86	100	92.96	92.93	97.71	99.65	93.02	96.39	92.97	93.08	98.79	91.85	96.4	92.99	93.02	92.67	92.69	96.4	92.93	92.79	92.95	92.9	92.88	92.86	92.92	92.1	92.62	97.63	97.63	98.88	92.92	97.7	93.09	92.63	90.74	90.79	90.74	90.75	90.75	90.69	90.75	90.7	90.77	90.72	90.69	90.73	81.67
